Source,Element,Concentration (mg/L),
https://doi.org/10.1021/acssuschemeng.4c07708,Cu,30,
https://doi.org/10.1021/acssuschemeng.4c07708,Ni,0.24,
https://doi.org/10.1021/acssuschemeng.4c07708,V,0.21,
https://doi.org/10.1021/acssuschemeng.4c07708,Ti,0.05,
https://doi.org/10.1021/acssuschemeng.4c07708,Mo,0.18,
https://doi.org/10.1021/acssuschemeng.4c07708,Cd,0.004,
https://doi.org/10.1021/acssuschemeng.4c07708,Cr,0.55,
https://doi.org/10.1021/acssuschemeng.4c07708,Zn,0.13,
https://doi.org/10.1021/acssuschemeng.4c07708,Al,0.025,
https://doi.org/10.1021/acssuschemeng.4c07708,Ba,0.012,
https://doi.org/10.1021/acssuschemeng.4c07708,Co,0.035,
https://doi.org/10.1021/acssuschemeng.4c07708,Fe,0.11,
https://doi.org/10.1021/acssuschemeng.4c07708,Mn,0.09,
https://doi.org/10.1021/acssuschemeng.4c07708,Li,2100,
https://doi.org/10.1021/acssuschemeng.4c07708,Sr,0.07,
https://doi.org/10.1021/acssuschemeng.4c07708,Mg,0.15,
https://doi.org/10.1021/acssuschemeng.4c07708,Si,20,
https://doi.org/10.1021/acssuschemeng.4c07708,Ca,1.45,
https://doi.org/10.1021/acssuschemeng.4c07708,SO4,1560,
https://doi.org/10.1021/acssuschemeng.4c07708,Na,170,
https://doi.org/10.1021/acssuschemeng.4c07708,K,10,
https://doi.org/10.1021/acssuschemeng.4c07708,P,100,
https://doi.org/10.1021/acssuschemeng.4c07708,B,55,
https://doi.org/10.1039/C7EW00454K,Ni,522.5,
https://doi.org/10.1039/C7EW00454K,Li,1919,
https://doi.org/10.1039/C7EW00454K,SO4,102800,
https://doi.org/10.1039/C7EW00454K,Na,42450,
https://doi.org/10.1039/C7EW00454K,TDS,147691.5,
https://doi.org/10.1039/C7EW00454K,pH,6.6,
https://doi.org/10.1016/j.watres.2024.122476,Cu,0.12,0.59
https://doi.org/10.1016/j.watres.2024.122476,Ni,0.36,0.6
https://doi.org/10.1016/j.watres.2024.122476,Al,0.31,0.56
https://doi.org/10.1016/j.watres.2024.122476,Co,0.08,0.12
https://doi.org/10.1016/j.watres.2024.122476,Mn,0.08,0.2
https://doi.org/10.1016/j.watres.2024.122476,Li,127,157
https://doi.org/10.1016/j.watres.2024.122476,Mg,6,7.3
https://doi.org/10.1016/j.watres.2024.122476,Ca,26.2,35
https://doi.org/10.1016/j.watres.2024.122476,S,165,200
https://doi.org/10.1016/j.watres.2024.122476,SO4,39.1,45.2
https://doi.org/10.1016/j.watres.2024.122476,F,123,468
https://doi.org/10.1016/j.watres.2024.122476,Na,2.8,40.5
https://doi.org/10.1016/j.watres.2024.122476,P,61.2,84.6
https://doi.org/10.1016/j.watres.2024.122476,Cl,46.4,51.2
https://doi.org/10.1016/j.watres.2024.122476,COD,916,1570
https://doi.org/10.1016/j.watres.2024.122476,pH,7.1,7.4
https://doi.org/10.1021/acs.jchemed.4c00204,COD,916,
https://doi.org/10.1021/acs.jchemed.4c00204,COD,1590,
