Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
https://doi.org/10.3390/w7041568,pH,7.98,7.06,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,µS/cm,64.8,151.9,21.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,TOC,200.0,7.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,TDS,560.456,76633.711,12105.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Ba,3.48,15.4,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Be,0.266,0.151,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Co,2.46,3.04,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Cr,1.35,1.38,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Cu,6.47,7.9,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Fe,2.34,7.52,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Mo,2.13,2.2,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Ni,3.06,3.19,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Sr,78.9,418.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Ti,1.4,1.44,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,V,3.44,4.4,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Zn,1.0,1.45,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Zr,7.16,6.64,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Br,,851.0,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,Cl,,75100.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,F,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.3390/w7041568,SO4,,199.0,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doi:10.4028/www.scientific.net/AMR.581-582.962,pH,10.0,9.0,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doi:10.4028/www.scientific.net/AMR.581-582.962,TOC,4364.0,3612.0,2408.0,1354.0,2859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doi:10.4028/www.scientific.net/AMR.581-582.962,TSS,13488.0,17179.0,12235.0,6457.0,19282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doi:10.4028/www.scientific.net/AMR.581-582.962,Cr,2.5,3.1,5.6,2.8,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CaCO3,,,,,77.0,143.0,73.0,148.0,262.0,76.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,H+,,,,,310.0,26.0,250.0,180.0,260.0,220.0,240.0,290.0,200.0,310.0,320.0,280.0,2000.0,50.0,250.0,40.0,270.0,235.0,450.0,22.2,126.0,92.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CaCO3,,,,,497.0,1.0,365.0,8.0,72.0,1280.0,106.0,110.0,1700.0,160.0,11500.0,1125.0,26.0,73.8,568.0,568.0,238.0,250.0,342.0,181.0,182.0,302.0,137.0,121.0,101.0,278.0,255.0,440.0,178.0,554.0,65.0,110.0,146.0,281.0,942.0,136.0,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Al,,,,0.17,3.83,0.61,3.6,0.0766,9.78,36.2,0.52,584.0,0.02,138.0,195.0,0.51,1.3,0.442,1.02,1.02,0.268,0.253,0.106,209.0,1.68,0.63,5.14,862.8,8.45,0.05,310.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TIN,,,,,84.1,120.0,57.0,120.0,81.0,100.0,110.0,110.0,130.0,120.0,110.0,150.0,170.0,29.56,4.2,119.0,50.4,7.84,43.0,42.5,97.0,170.0,199.0,29.7,29.7,35.7,12.4,0.15,17.6,19.5,7.4,89.0,5.35,13.6,1.95,126.0,166.0,95.0,0.12,15.2,257.86,87.7,82.3,17.57,51.94,74.1,106.0,24.3,47.53,28.15,37.83,18.2,71.37,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Sb,,,,0.013,0.014,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,As,,,,0.0091,0.0067,0.617,0.016,0.954,0.206,0.01,0.0944,0.0335,0.0335,0.009,0.0302,0.0142,0.663,0.0466,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ba,,3.48,15.4,8.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ba,,,,,2940.0,3220.0,11500.0,4170.0,4130.0,4930.0,2770.0,2810.0,4680.0,4180.0,4170.0,3850.0,2840.0,20.9,2270.0,9360.0,2660.0,2.7,0.193,29.5,0.069,1160.0,6700.0,21.2,159.0,0.55,4.0,67.7,21.9,21.5,5280.0,4798.6,3000.0,10.5,5.18,5.18,1350.0,1310.0,37.6,322.7,157.0,360.0,510.0,64.1,931.2,135.9,226.6,81.7,10.573,1200.0,26.7,0.386,2.996,0.546,20.36,2.293,4.098
https://pubmed.ncbi.nlm.nih.gov/26140412/,C7H6O,,,,,0.00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C6H6,,,,,0.0079,0.00849,0.46,0.0014,0.0013,0.0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C7H6O2,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C7H8O,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Be,,0.266,0.151,0.234,0.0014,0.0465,0.0158,0.00035,0.072,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TIC,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,B,,,,0.14,9.31,2.32,8.7,8.8,8.26,7.35,8.08,7.28,7.07,7.09,6.38,6.92,0.46,2.28,4.36,2.37,0.13,0.58,11.6,0.81,1.73,2.82,0.02,1.0,7.76,5.2,12.8,15.1,0.362,0.362,14.8,7.8,6.75,17.0,22.4,13.9,33.4,13.0,25.5,2.7,7.2,8.11,7.0,1.28,0.74,0.224,0.552,1.08,0.359,0.412,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Br,,851.0,15.9,,290.0,1440.0,436.0,1110.0,1130.0,1130.0,1040.0,1030.0,1100.0,898.0,1180.0,1290.0,1240.0,205.0,517.0,857.0,451.0,0.24,12.2,1980.0,822.0,5.0,96.4,31.2,25.0,1290.0,1900.0,1750.0,713.0,5.1,5.1,700.0,750.0,149.0,361.0,390.0,290.0,810.0,211.0,620.0,286.0,370.0,220.0,871.0,7.5,201.0,54.0,36.2,83.5,42.9,24.0,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cd,,,,,0.007,0.0136,0.0013,0.0016,0.0228,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ca,,,,600.0,19800.0,8330.0,21700.0,17400.0,23300.0,19700.0,19800.0,24700.0,19300.0,26300.0,28300.0,25400.0,516.0,6140.0,16600.0,7630.0,599.0,16.8,54.675,31900.0,13600.0,95.1,1815.0,22.5,546.0,184.0,434.0,58.4,25500.0,24307.8,27900.0,11500.0,186.0,186.0,5550.0,7885.0,610.6,3123.8,3940.0,1420.0,8060.0,1772.2,6633.0,1247.1,1466.7,400.0,4859.5,1140.0,231.0,383.0,498.0,1125.0,628.0,1170.0,814.3,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TOC,,200.0,7.0,8.6,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,COD,,,,,2490.0,15000.0,12000.0,21000.0,22000.0,24000.0,21000.0,27000.0,20000.0,10000.0,25000.0,26000.0,25000.0,947.0,202.0,3020.0,1170.0,1195.0,5030.0,11400.0,1170.0,1640.0,79.0,4350.0,875.0,800.0,1850.0,15000.0,8810.0,20000.0,3810.0,1420.0,1420.0,4400.0,6380.0,577.5,790.0,2850.0,162.0,5410.0,572.0,2555.0,540.0,959.2,858.0,777.5,3620.0,2520.0,5570.0,3620.0,3110.0,2210.0,1800.0,3020.0,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cl,,,,,42000.0,17500.0,44700.0,60500.0,37100.0,6900.0,104.0,171.0,54600.0,554.0,12900.0,27.3,7190.0,10120.0,6800.0,6220.0,89100.0,13200.0,13200.0,54900.0,76100.0,8766.9,25741.1,39500.0,20500.0,68300.0,17261.6,5992.9,16670.1,20444.4,8090.0,41955.0,25300.0,22800.0,4225.0,10250.0,9800.0,24250.0,10400.0,7800.0,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cr,1.35,1.38,2.33,0.34,0.0073,0.0579,0.0621,0.0973,0.0771,0.0739,0.058,0.0581,0.0515,0.0528,0.0542,0.01,0.48,0.34,0.01,1.79,0.0107,2.1,2.1,0.0703,0.0556,0.0128,1.27,1.27,0.155,0.0581,0.0094,0.535,0.147,1.79,0.083,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Co,,2.46,3.04,4.14,0.06,0.03,0.583,0.0059,0.504,0.606,0.0508,0.0958,0.0374,1.69,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Cu,6.47,7.9,8.56,0.085,0.0449,0.04,0.0885,0.02,0.04,0.02,3.04,0.04,0.92,1.4,0.018,0.161,0.015,0.159,0.0109,3.07,0.02,3.06,0.056,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,CN,,,,0.02,0.11,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C6H12O,,,,,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C2H5OH,,,,,0.00763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
