Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Cd,0.005,0.011,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Cr,0.002,0.02,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Cu,0.014,0.36,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Fe,0.03,0.53,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Pb,0.107,1.9,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Mn,0.03,0.169,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Hg,0.001,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P197,Zn,0.12,0.46,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,pH,7.9,8.8,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,CaCO3,26.0,609.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,TDS,670.0,2834.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,COD,71.4,1535.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,P,0.042,0.15,0.108,0.876,0.54,2.54
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,NH3,0.05,14.0,0.064,26.4,0.32,185.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Cd,0.005,0.011,<0.00013,0.0026,<0.00168,0.13
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Cl,21.0,395.0,0.127,6.9,<0.900,32.2
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Cr,0.02,0.67,0.089,17.2,0.62,86.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Cu,0.02,0.36,<0.026,0.158,<0.18,1.96
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,CN,0.01,0.03,0.008,0.018,<0.18,8.85
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,F,0.13,0.26,<0.026,1.77,<0.18,1.36
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Fe,0.05,0.53,<0.026,0.29,<0.45,10.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Pb,0.1,1.9,0.064,1.16,0.012,0.198
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Mn,0.02,0.08,<0.013,0.109,0.091,0.509
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Hg,0.0001,0.1,130,1800.0,1260,33700.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,SO4,295.0,1825.0,20,870.0,210,4070.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P280,Zn,0.12,0.46,0.37,0.944,203,5.45
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Cd,0.0008100000000000001,0.6379900000000001,0.17,1.178,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,CN,0.04,0.28291000000000005,0.18,0.59,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Hg,0.0002,0.05163,0.0011,0.0222,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Se,0.012,0.24237999999999998,0.2,0.52667,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Tl,0.0017,0.089557,0.0081,0.1978,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Fe,0.0019,0.057733,0.0285,0.15953,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Sb,0.044700000000000004,1.725,0.167,1.359,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Zn,0.098,74.137,5.6,266.4,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Cr,0.02,4.6431000000000004,1.85,11.0,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,As,0.028,2.8534,0.8,8.1,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Pb,0.1007,20.192,2.75,27.3,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Ni,0.0728,3.7086,2,9.2,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Cu,0.3072,98.854,63.3,292.0,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Be,0.00035,0.075401,0.075,0.15,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,Ag,0.01184,0.41099,0.25167,0.805,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,pH,6.52,8.7848,8.35,11.61,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P195,TOC,3.4667,14.864,9.5,28.6,,
https://doi.org/10.22034/GJESM.2019.04.06,pH,6.88,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,TDS,90.0,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,As,0.155,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,Pb,7.9385,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,Hg,0.1434,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,Cd,0.0079,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Sb,0.053,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,As,0.37,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Be,0.09,0.618,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cd,0.16,0.32,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cr,0.68,1.096,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cu,19.0,23.8,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,CN,,,,,,
