Source,Element,Concentration mg/L,Unnamed: 3
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Fe,1480.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,CN,19.4,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Co,30.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Al,3130.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Mg,7100.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Zn,180.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Cr,0.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Ni,30.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Cu,80.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,Be,0.0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT,pH,0.9,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Fe,1860.0,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Cd,0.26,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Tl,0.002,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,CN,7.8,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Zn,107.0,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Cr,1.3,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,As,0.027,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Pb,0.01,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Ni,14.2,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Cu,88.0,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,Be,0.3,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf ,pH,3.04,
https://doi.org/10.3390/met9030363,Fe,1700.0,
https://doi.org/10.3390/met9030363,SO4,4900.0,
https://doi.org/10.3390/met9030363,Co,20.0,
https://doi.org/10.3390/met9030363,Al,3400.0,
https://doi.org/10.3390/met9030363,Pb,10.0,
https://doi.org/10.3390/met9030363,Ni,60.0,
https://doi.org/10.3390/met9030363,pH,1.5,
https://doi.org/10.3390/met9030363,TDS,10091.5,
https://doi.org/10.1016/j.cej.2019.122956,Fe,11800.0,
https://doi.org/10.1016/j.cej.2019.122956,Cd,5.31,
https://doi.org/10.1016/j.cej.2019.122956,SO4,45200.0,
https://doi.org/10.1016/j.cej.2019.122956,Zn,336.0,
https://doi.org/10.1016/j.cej.2019.122956,Cr,3.89,
https://doi.org/10.1016/j.cej.2019.122956,As,63.6,
https://doi.org/10.1016/j.cej.2019.122956,Ni,4.26,
https://doi.org/10.1016/j.cej.2019.122956,Cu,135.0,
https://doi.org/10.1016/j.cej.2019.122956,pH,1.4,
https://doi.org/10.1016/j.cej.2019.122956,TDS,57549.46,
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Fe,,1541.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,SO4,17500.0,7056.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Co,,66.1
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Al,,950.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Mg,485.0,2662.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Zn,,112.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Ni,,169.0
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,Cu,,171.6
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,pH,,1.37
https://www.sciencedirect.com/science/article/pii/S1385894721054474?via%3Dihub,TDS,17985.0,12729.070000000002
