Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
https://www.mdpi.com/2073-4441/15/20/3676,pH,7.74,,6.7,8.3,8.9,9.2,7.2,8,8,8.3,8.7,7.82,8.2,7.8,7.3,7.2,8,8,7.1,8.96
https://www.mdpi.com/2073-4441/15/20/3676,COD,485,2554,450,3600,5300,970,232.7,1494,480,3970,4745,310,,74800,330,1179,350,112,208.56,19200
https://www.mdpi.com/2073-4441/15/20/3676,TSS,600,,150,30,40,42.3,86.2,75,315,30,40,,31,2010,253.3,,60,,30,1093.5
https://www.mdpi.com/2073-4441/15/20/3676,TDS,800,,,3.8,6.2,1220,276,,,3800,6200,1910,,41600,,74,2100,930,5.12,22130
https://www.mdpi.com/2073-4441/15/20/3676,TOC,,610.93,119,,,,,,,,,,,5490,391,,,,159.8,4758.1395
https://www.mdpi.com/2073-4441/15/20/3676,NH3,13.7,81.2,,,,,0.7,,,,,,0.81,,9.5,,,0.7,0.7,64.325
https://www.mdpi.com/2073-4441/15/20/3676,Phenols,3.5,,,11,,14,0.17,70,13.8,8,10,,20.7,,,257,7.35,,1.835,163.5
https://www.mdpi.com/2073-4441/15/20/3676,S,,,,,,,,142,16.8,,,,,,,0.18,,,1.842,129.48
https://www.mdpi.com/2073-4441/15/20/3676,O&G,17.36,,870,,,,2.9,,94,,,,,,,217,14.75,,5.8625,706.75
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TDS,18299.12839,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TDS,7747.196073,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,SO4,1019.367924,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,893.8551413,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,797.6553852,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,Cl,509.2678835,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,296.6767442,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,194.130891,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,192.6436698,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,186.8841157,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,161.7915725,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,146.1290202,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,144.2843385,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,124.3391557,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,109.9472327,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,109.2634714,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,96.66658902,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,90.32482168,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,80.56294726,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,78.1515393,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,75.4549487,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,71.35575329,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,69.65680679,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,54.88519768,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,53.52240126,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,52.5181145,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,50.13373563,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,50.04989744,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,48.16708194,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,46.20692477,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,44.17260919,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,43.32313593,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,39.33223596,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,39.20037128,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,35.36582524,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,31.87714064,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,31.33054899,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,30.83587918,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,30.54994685,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,29.73156387,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,29.66767442,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,23.57188718,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,23.38561758,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,23.2057478,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,22.92621952,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,21.3906835,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,21.06693668,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,20.55513208,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,19.20141933,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,19.15425175,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,18.90105533,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,COD,17.77847889,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,17.74246913,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,17.48457758,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,17.472894,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,15.92394418,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,15.19021142,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,14.01630868,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,13.88381986,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,13.2904919,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,13.1604337,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,12.97133459,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,12.73169709,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,12.60508699,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,11.79048631,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,11.66898291,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,11.0431523,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,10.68036279,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,10.54456967,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,10.16431408,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,10.02378439,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,9.884819147,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,9.464699275,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,9.344205791,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,8.860383823,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,8.778235084,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,8.648854875,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,8.494732532,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,8.459985282,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,8.45528721,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,8.403391324,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,8.048735997,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,8.02753027,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,8.013969986,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,7.560311954,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,7.475364631,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,6.734271083,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,6.722713063,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,6.3710494,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,6.165531681,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,5.963027747,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,5.920040405,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,5.918910411,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,5.245628763,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,F,5.195443225,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,4.924263093,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,4.825008079,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,4.572642125,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TOC,4.315324127,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,O&G,4.235547508,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,NH3,3.772354694,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,BOD5,3.548562989,,,,,,,,,,,,,,,,,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search,TSS,3.397893014,,,,,,,,,,,,,,,,,,,
