Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,F,,65.5,,,,,24.5,14.5,27.5,119.0,290.0,0.27,,0.53,0.1,52.0,50.0,6.9,,80.0,125.0,,1.5,16.3,8.6,11.2,5.42,12.0,9.0,14.5,11.7,10.5,12.0,0.15,875.0,760.0,306.0,50.0,0.24,,4.2,0.9,1.1,0.35,0.21,0.25,9.08,21.5,4.8,46.0,5.8,64.5,0.65
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,B,,,0.267,0.164,1.7,,0.007,0.069,0.009,0.372,60.66,0.251,0.222,0.224,1.194,0.69,0.76,,,0.234,0.908,,0.353,0.639,0.372,0.43,0.248,0.289,0.226,0.114,0.285,0.102,0.198,,,,12.145,697.0,,,,0.002,0.058,0.215,0.186,0.015,0.148,0.106,0.264,0.695,0.172,64.5,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ba,,,0.026,0.026,0.121,,0.012,0.016,0.013,0.001,0.05,0.003,0.024,0.08,0.001,0.024,0.015,0.09,,0.006,0.007,,0.089,0.001,0.004,0.002,0.023,0.022,0.023,0.019,0.018,0.012,0.01,0.004,0.011,,0.018,,0.006,,,0.00096,0.001,0.001,0.001,0.001,0.017,0.018,0.003,0.048,0.002,0.048,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Be,,0.001,0.001,0.001,,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.001,0.001,0.01,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.01,0.002,0.003,0.001,0.005,0.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,As,,0.015,0.006,0.007,0.003,6.25,0.002,0.004,0.001,,0.074,0.004,0.003,0.003,0.003,0.01,0.002,0.003,0.0068,0.006,,0.01,0.014,0.025,,,0.001,0.002,0.002,0.005,0.005,,0.003,0.003,0.003,0.01,0.004,0.119,0.003,0.005,0.01,0.003,0.001,,,,0.005,0.005,0.003,0.006,0.01,0.12,0.003
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cd,,0.003,0.001,0.001,0.001,0.006,0.002,0.002,0.002,0.002,0.05,0.001,0.001,0.004,0.001,0.002,0.001,0.003,0.0003,0.002,0.002,0.001,0.015,0.002,0.004,0.002,0.007,0.006,0.007,0.007,0.007,0.008,0.004,0.003,0.003,0.004,0.03,0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.008,0.008,0.002,0.003,0.002,0.003,0.003
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cr,,0.146,0.009,0.011,0.001,1.14,0.001,0.189,0.001,0.001,0.001,0.001,0.001,0.033,0.02,0.341,0.11,0.036,1.15,0.001,0.001,0.05,0.115,0.002,0.005,0.001,0.059,0.058,0.054,0.048,0.05,0.056,0.019,0.004,0.003,22.8,19.0,408.0,0.001,0.025,0.005,0.001,0.31,0.001,0.001,0.001,0.024,0.028,0.001,0.154,0.001,0.205,0.02
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Pb,0.06,0.135,0.001,0.001,0.001,0.42,0.039,0.041,0.039,0.04,0.25,0.034,0.001,0.044,0.015,0.025,0.042,0.21,0.0035,0.362,0.039,0.005,0.04,0.044,0.04,0.04,0.085,0.083,0.1,0.098,0.102,1.95,0.083,0.019,0.161,0.001,3.675,0.15,0.012,0.24,0.001,0.038,0.039,0.04,0.04,0.04,0.09,0.096,0.04,0.04,0.04,0.049,0.01
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Zn,0.7,0.092,0.04,0.059,0.052,25.6,0.022,0.062,0.001,0.001,0.8,0.07,1.113,0.051,0.047,0.111,0.089,0.216,0.029,0.225,0.05,0.01,0.358,0.035,0.184,0.067,0.04,0.03,0.038,0.022,0.025,1.081,0.025,0.022,0.048,31.07,0.197,0.429,0.032,0.009,0.01,0.001,1.84,0.001,0.014,0.007,0.04,0.083,0.157,0.019,0.001,0.01,0.003
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Sb,,0.013,0.005,0.017,0.005,0.088,0.001,0.002,0.002,0.005,0.005,0.005,0.007,0.005,0.003,0.005,0.005,0.005,0.0007,0.002,0.001,0.001,0.003,0.187,0.1,,0.005,0.005,0.005,0.001,0.001,0.005,0.005,0.005,0.005,0.002,0.003,0.005,0.005,0.0005,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Al,2.33,,0.001,0.001,0.009,,0.144,0.136,0.148,0.253,16.31,0.155,0.015,0.359,0.001,0.323,0.02,0.247,,0.218,0.572,,1.352,0.21,0.263,0.16,0.231,0.215,0.231,0.269,0.299,0.227,0.292,0.046,5.781,,4.44,320.06,0.031,,,0.048,0.041,0.022,0.041,0.01,0.193,0.225,0.066,0.603,0.053,0.895,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Cu,1.65,0.57,0.002,0.007,0.001,0.38,0.012,0.055,0.005,0.014,0.001,0.056,0.046,0.078,0.092,0.413,1.182,0.103,0.005,1.76,0.904,0.035,0.158,0.058,0.049,0.059,0.115,0.12,0.134,0.051,0.05,0.041,0.03,0.015,0.046,2.2,1.742,3.746,0.019,0.04,0.01,0.049,0.046,0.002,0.002,0.002,0.232,0.347,0.002,0.011,0.002,0.012,0.003
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Co,,,0.002,0.003,0.001,,0.048,0.051,0.049,0.05,0.48,0.001,0.001,0.028,0.001,0.147,0.001,0.004,,0.051,0.049,,0.05,0.054,0.05,0.05,0.01,0.011,0.009,0.008,0.009,0.014,0.007,0.001,0.001,,0.041,0.14,0.001,,,0.048,0.048,0.05,0.05,0.05,0.011,0.018,0.05,0.081,0.05,0.058,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Fe,3,,0.012,0.047,,,0.001,0.546,0.001,0.001,0.46,0.109,0.169,8.472,0.001,0.813,0.106,0.477,,0.001,0.001,,7.571,0.04,0.483,0.068,0.092,0.081,0.089,,0.076,0.088,0.106,0.055,0.149,,1.025,,0.026,,,0.001,1.23,0.001,0.001,0.001,0.874,1.296,0.138,0.207,0.023,0.352,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,K,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Mg,,,19.34,19.08,11.02,,5.05,5.11,5.14,8.33,23.78,0.319,13.5,23.03,6.457,17.12,3.542,30.06,,1.44,2.11,,55.39,1.82,3.79,2.76,12.6,13.22,13.55,13.95,13.57,6.794,4.93,0.077,0.142,,3.325,,0.034,,,0.024,0.147,0.077,0.121,0.089,5.804,5.847,0.025,9.54,0.025,9.98,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Mn,0.1,,0.009,0.001,0.001,,0.012,0.025,0.031,0.033,0.001,0.001,0.006,0.055,0.001,0.014,0.001,0.025,,0.104,0.029,,0.217,0.001,0.002,0.002,0.011,0.011,0.011,0.006,0.006,0.021,0.025,0.001,0.006,,22.37,,0.001,,,0.001,0.024,0.001,0.001,0.001,0.01,0.013,0.001,0.004,0.001,0.005,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Hg,,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.012,0.011,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.023
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Mo,,,0.005,0.004,0.008,,0.034,0.035,0.034,0.035,0.57,0.008,0.001,0.017,0.025,0.006,0.001,0.016,,0.036,0.034,,0.065,0.038,0.046,0.035,0.035,0.037,0.043,0.024,0.028,0.018,0.018,0.004,0.019,,0.198,,0.001,,,0.033,0.034,0.035,0.035,0.035,0.022,0.026,0.035,0.062,0.035,0.042,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ni,,0.5,0.001,0.001,0.001,0.34,0.005,0.015,0.005,0.005,0.9,0.001,0.001,0.15,0.028,4.964,0.001,0.399,0.025,0.005,0.005,0.025,0.108,0.015,0.022,0.015,0.531,0.523,0.596,0.531,0.52,0.844,0.703,0.057,0.07,0.69,1.956,0.2,0.005,0.025,0.025,0.005,0.135,0.005,0.005,0.005,1.659,0.815,0.005,0.012,0.005,0.009,0.025
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Se,,0.015,0.003,0.003,0.003,0.005,0.001,0.002,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.006,0.007,0.005,0.003,0.045,0.044,,0.005,0.005,0.009,0.005,0.01,0.003,0.003,0.003,0.003,0.005,0.003,0.007,0.003,0.005,0.005,0.002,0.003,0.002,0.004,0.003,0.005,0.005,0.003,0.032,0.001,0.046,0.003
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ag,,0.002,0.005,0.005,0.005,0.015,0.001,0.001,0.001,0.001,0.005,0.005,0.005,0.003,0.002,0.005,0.005,0.013,0.015,0.001,0.001,0.01,0.025,0.002,0.001,0.002,0.005,0.005,0.005,0.006,0.009,0.003,0.006,0.003,0.003,0.025,0.011,0.03,0.003,0.015,0.01,0.001,0.001,0.001,0.001,0.002,0.006,0.006,0.001,0.002,0.001,0.001,0.002
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Tl,,0.001,0.025,0.025,0.025,0.0065,0.001,0.001,0.001,0.001,0.025,0.025,0.025,0.025,0.02,0.025,0.025,0.025,0.007,0.001,0.001,0.003,0.012,0.001,0.001,0.001,0.03,0.03,0.03,0.09,0.09,0.065,0.035,0.025,0.025,0.005,0.4,0.03,0.025,0.0005,0.001,0.001,0.001,0.001,0.001,0.001,0.05,0.05,0.001,0.001,0.001,0.001,0.02
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Te,,,0.02,0.02,0.02,,0.002,0.002,0.002,0.01,0.02,0.02,0.02,,,0.02,0.02,,,,,,,0.015,,0.006,0.02,0.02,0.02,,,,,,,,,0.02,,,,0.003,0.005,0.006,0.006,0.006,,,0.008,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,TIN,,,0.016,0.011,,,0.034,0.027,0.024,0.025,1.01,0.047,0.023,0.075,0.037,0.297,0.029,0.078,,0.03,0.025,,0.03,0.027,0.025,0.025,0.006,0.002,0.0,0.016,0.011,0.012,0.028,0.023,0.203,,0.27,,0.006,,,0.024,0.024,0.025,0.025,0.025,0.033,0.018,0.025,0.025,0.025,0.027,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ti,,,0.001,0.001,,,0.002,0.002,0.002,0.004,0.03,0.022,0.006,0.004,0.03,0.003,0.001,0.006,,0.002,0.012,,0.03,0.002,0.006,0.005,0.105,0.008,0.007,0.008,0.009,0.007,0.006,0.002,0.036,,0.03,11.32,0.001,,,0.002,0.002,0.002,0.002,0.002,0.006,0.008,0.002,0.005,0.002,0.005,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,V,,,0.13,0.13,0.068,,0.001,0.002,0.001,0.013,0.16,0.003,0.091,0.17,0.001,0.123,0.015,0.214,,0.002,0.001,,0.385,0.006,0.013,0.007,0.105,0.105,0.109,0.124,0.121,0.064,0.054,0.001,0.081,,0.134,,0.001,,,0.001,0.001,0.002,0.004,0.003,0.048,0.052,0.001,0.005,0.001,0.006,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Au,,,0.02,0.02,0.02,,0.001,0.001,0.001,0.002,0.02,0.02,0.02,,,0.02,0.02,,,,,,,,,,0.051,0.056,0.04,,,,,,,,,0.02,,,,0.001,0.001,0.002,0.002,0.002,,,0.002,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,Ca,,,36.36,35.083,42.31,,18.4,18.4,18.2,5.8,45.92,1.71,28.04,55.968,8.156,46.1,14.31,72.448,,4.98,7.0,,618.62,10.1,21.4,16.1,153.4,154.8,174.1,187.7,176.4,243.708,171.508,1.718,2.371,,4.155,825.18,0.258,,,0.125,0.546,0.005,0.005,0.05,16.4,16.29,0.005,33.0,0.005,35.0,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,TOC,,,,,,,,,3.7500000000000004,266.25,,170.41666666666669,,26.964285714285715,3.7500000000000004,3.7500000000000004,16.8,,27.55952380952381,40.535714285714285,,,,,,,164.46428571428572,134.70238095238096,,,,404.9404761904762,129.3452380952381,,,,,,,,,,,,,,,,,,,,
https://www.epa.gov/sites/default/files/2016-06/documents/battery-mfg_dd-vol-1_1984.pdf,pH,6.3,,,,,1.5,,,,,,,,,,,,,2.6,,,8.8,,,,,,,,,,,,,,1.2,,,,8.7,7.8,,,,,,,,,,,,
