Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Cu,0.02,0.02,0,0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Ni,0.03,0.04,0.02,0.00018,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Zn,0.05,0.12,0.38,0.0037,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Pb,0.12,0.3,0.18,0.0018,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Mg,0.31,-,-,-,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,TSS,3,36,33,0.32,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,pH,7.6,8.3,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,COD,8,8,0,0,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Cl,18,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,Ca,70,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,SO4,408,500,92,14,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,CaCO3,203,186,17,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P220,TDS,435,645,210,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,pH,7.7,8,6.4,7.6,8.4
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,TDS,140,3800,449.0761,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,TSS,6.8,151,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,SO4,62,31,59,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Cd,0.001,0.001,0.042,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Fe,0.04,0.03,340,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Hg,0.0001,0.0001,0.0001,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Se,0.001,0.54,0.04,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Zn,0.44,0.023,36,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,As,3.7,0.048,5.7,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Te,0.001,,0.1,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Pb,0.04,0.07,7.4,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Ni,0.001,0.06,0.16,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,Cu,0.12,0.05,0.604,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  P75,CN,0.005,0.05,0.03,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Ca,14,60,24,205,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Cl,3,120,1,17,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,F,0.16,0.35,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Fe,0.03,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,CO3,21,324,56.4,360,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,K,0.5,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Mg,3.7,26.4,8,22,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Na,1.5,2,19,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Ni,0.01,10,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,NO3,0.25,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,pH,8.2,8.8,7.2,8.5,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,SO4,3,750,5,740,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,TDS,60,140,1100,1344,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Zn,0.005,5,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,pH,,7.7,2,6.1,7.6
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,CaCO3,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,COD,450,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,TSS,24000,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,TDS,2000,,,30000,26000.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,SO4,1060,,,,10240.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Cd,<0.20,,0.1,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Fe,1.3,,1,,50.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Cl,,8.7,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Al,,0.12,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,TIN,0.48,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Zn,,0.25,0.4,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,As,<0.010,0.01,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Pb,7.2,,1,0.05,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Ni,<0.50,,0.1,10,20.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT  P76,Cu,,0.15,50,100,0.35
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT P151,pH,5,7,5.2,6.8,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT P151,Fe,1,1.2,1.3,19.7,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT P151,Zn,8.5,5.7,18,27,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT P151,Pb,136,179,182,291,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT P151,Cu,0.02,1.35,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Sb,0.0028,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,As,0.3,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Al,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Be,0.1,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Cd,0.0225,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Ca,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Cl,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Cr,0.81,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Co,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Cu,3.8,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,CN,0.21,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,F,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Pb,1.35,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Mg,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Mn,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Hg,0.00145,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Ni,8.5,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Se,0.15,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Na,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Ag,0.81,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Tl,1.17,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Zn,0.875,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Fe,6.248,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,SO4,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,K,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,CO3,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Si,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,U,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,NH3,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,NO3,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,COD,10.85,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,TDS,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,TSS,40,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,TOC,560,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,Phenolics,9.04,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf,pH,7,,,,
