Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P372,pH,6.4,12.0,7.2,11.0
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf  P372,pH,6.8,10.0,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,TSS,10.0,14.0,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,TOC,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,TDS,400.0,102.8,1050.0,1300.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,SO4,1.5,90.5,309.0,475.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Na,65.0,,25.0,27.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,K,0.5,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Phenolics,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,pH,10.0,7.9,7.9,7.9
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,NO3,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Hg,0.001,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Mn,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Mg,3.7,,92.0,110.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Pb,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Fe,0.1,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,F,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,CN,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Cu,0.01,,0.05,0.05
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Co,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Cr,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Cl,120.0,200.0,22.0,22.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,COD,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,CO3,150.0,,700.0,700.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Ca,60.0,,136.0,144.0
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Cd,0.005,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Be,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,As,0.006,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,Sb,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000WPVM.TXT Page 76,NH3,0.75,,,
