Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
https://doi.org/10.1007/s10653-019-00457-6,TDS,7845.0,6970.0,,,,
https://doi.org/10.1007/s10653-019-00457-6,TDS,4657.5,4809.0,,,,
https://doi.org/10.1007/s10653-019-00457-6,TIN,1.555,1.325,,,,
https://doi.org/10.1007/s10653-019-00457-6,Ca,12.045,4.6450000000000005,,,,
https://doi.org/10.1007/s10653-019-00457-6,Mg,22.475,18.875,,,,
https://doi.org/10.1007/s10653-019-00457-6,Na,16.575,29.65,,,,
https://doi.org/10.1007/s10653-019-00457-6,K,5.865,32.735,,,,
https://doi.org/10.1007/s10653-019-00457-6,Cl,53.175,375.775,,,,
https://doi.org/10.1007/s10653-019-00457-6,Fe,0.077,0.066,,,,
https://doi.org/10.1007/s10653-019-00457-6,Cr,0.076,0.1145,,,,
https://doi.org/10.1007/s10653-019-00457-6,Zn,0.1015,0.058499999999999996,,,,
https://doi.org/10.1007/s10653-019-00457-6,Mn,0.4165,0.028499999999999998,,,,
https://doi.org/10.1007/s10653-019-00457-6,Pb,0.11299999999999999,0.1995,,,,
https://doi.org/10.1007/s10653-019-00457-6,pH,8.27,7.39,,,,
https://doi.org/10.1007/s10653-019-00457-6,pH,8.6,8.53,,,,
https://doi.org/10.1007/s10653-019-00457-6,TDS,1470.0,2648.0,,,,
https://doi.org/10.1016/j.enmm.2020.100422,COD,430.0,745.0,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Cl,104.0,24.0,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Fe,7.25,4.61,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Cu,0.65,0.13,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Cr,1.999,0.519,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Zn,2.5,0.31,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Mn,2.12,0.27,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Cd,0.09,0.05,,,,
https://doi.org/10.1016/j.enmm.2020.100422,Pb,0.027,0.013,,,,
https://doi.org/10.1016/j.enmm.2020.100422,TDS,764.6360000000001,1324.9019999999998,,,,
https://doi.org/10.1016/j.heliyon.2021.e08680,Cr,0.04,0.04,0.04,0.04,0.03,0.2
https://doi.org/10.1016/j.heliyon.2021.e08680,Zn,3.18,5.04,0.64,1.54,0.54,0.4
https://doi.org/10.1016/j.heliyon.2021.e08680,Al,5.04,3.55,1.28,78.18,0.54,0.95
https://doi.org/10.1016/j.heliyon.2021.e08680,Fe,7.58,6.05,2.02,5.26,2.95,18.9
https://doi.org/10.1016/j.heliyon.2021.e08680,pH,12.95,8.79,6.02,4.54,6.36,5.75
https://doi.org/10.1016/j.heliyon.2021.e08680,Ca,18.45,14.8,7.26,9.74,5.72,3.24
https://doi.org/10.1016/j.heliyon.2021.e08680,TIN,68.75,48.08,16.8,21.38,3.2,4.75
https://doi.org/10.1016/j.heliyon.2021.e08680,SO4,355.75,115.38,30.14,1190.7,90.25,10.42
https://doi.org/10.1016/j.heliyon.2021.e08680,Na,20727.0,9510.0,285.66,14056.0,315.2,245.28
https://doi.org/10.1016/j.heliyon.2021.e08680,Cl,23280.0,12516.0,751.0,20490.0,795.88,643.3
https://doi.org/10.1016/j.heliyon.2021.e08680,TDS,28500.0,17533.0,4996.7,26166.0,4123.3,3576.7
"Chowdhury, M.",Pb,0.01,,,,,
"Chowdhury, M.",Cr,0.055999999999999994,,,,,
"Chowdhury, M.",Zn,0.399,,,,,
"Chowdhury, M.",Cu,0.95,,,,,
"Chowdhury, M.",pH,7.87,,,,,
"Chowdhury, M.",pH,8.07,,,,,
"Chowdhury, M.",Fe,14.43,,,,,
"Chowdhury, M.",Ca,180.35500000000002,,,,,
"Chowdhury, M.",K,543.93,,,,,
"Chowdhury, M.",TDS,662.0,,,,,
"Chowdhury, M.",COD,1433.0,,,,,
"Chowdhury, M.",TDS,4650.0,,,,,
https://doi.org/10.12691/ajcea-1-2-3,COD,5760.0,,,,,
https://doi.org/10.12691/ajcea-1-2-3,pH,8.6,,,,,
https://doi.org/10.12691/ajcea-1-2-3,TDS,16600.0,,,,,
https://www.researchgate.net/publication/322020825,Fe,3.8,,,,,
https://www.researchgate.net/publication/322020825,Cd,4.3,,,,,
