,Na,K,Ca,Mg,Al,Fe,Cl,F,Br,SO4,SiO2,TIC,N,B,final_pH,final_calculated_TDS
Drilling,29.876006526416283,0.9596528422251547,5.751752862154403,0.6302248441452692,0.0026244851242152433,0.03369740310600156,59.866849046207335,0.0,0.9868128283258664,0.2603167474281176,0.03627280643671897,0.24766816988127807,0.00011767383070364564,0.015278159215322969,6.858635998136714,44182.64411293442
PW Conv,33.598202667475284,0.2888123190724587,3.283779373500151,0.811345589995462,0.008347176851805164,0.0,59.29689194645166,0.003338870740722065,0.4225424394152292,0.8815754851216504,0.033923410193775275,0.7490119560882245,0.21238491198616954,0.04841573953756398,7.1,59900.491971949756
PW Unconv,32.04806802154405,0.30378729699920926,1.446606176186711,0.22904597789622935,0.0024108708697939893,0.0,48.01526999793056,0.02471197912453471,0.15915729921126756,0.5907736555716281,0.11570167349035616,13.729726488733752,0.37390388141389347,0.004098896454128437,7.41677569801154,8295.277731795873
Petroleum Refining,13.040092533720795,1.4161613146987875,12.821450119194314,1.7534870442956756,0.059902031377118234,0.0001497550784427956,0.06598284923075934,0.0008488159608930546,0.0003961263365261044,68.53753328188557,0.0,0.015523469656931164,0.002671320515284384,0.009662039801905106,7.82,517511.6650858953
Excavation,2.2185475976511038,0.2599860465997388,23.65886778327676,0.9706145739723577,0.0,0.17332403106649252,1.6951090238302948,0.06932734494109888,0.0,41.367377831716006,0.0,26.614455024831575,2.883961623945213,0.0,7.529943569045886,1442.2462338536352
Flotation,16.782055671028488,0.5448466457804861,4.201597627352524,1.3237168103515482,0.030176121920054984,0.018728881679794473,0.3160337092988679,0.018350341748153785,0.0,27.966199999923163,33.05108468420077,4.3855413260524365,0.4288326858011284,0.0,9.833095107324594,4414.0860894075395
Leachate,0.0,0.0,0.0,5.8842153207847785,6.9185435041157834,3.7577633528678156,0.0,0.0,0.0,82.35724122232915,0.0,0.0,0.02083961755407797,0.0,1.3049024547529517,45239.67691319917
Smelting&Refining,0.3750947624183877,0.0,23.010374703400313,1.5003790496735507,0.0,0.2250568574510327,3.188305480556297,0.047823435030294875,0.0,14.443009639131699,0.0,57.54352196747553,0.005200454805201619,0.0,7.561877076121653,533.1616028068266
Gas Scrubber,15.349832094545315,0.0,13.750942222355619,0.0,0.0,0.01797840536435328,0.0,0.0,0.0,69.68206439519253,0.0,0.0,0.0,0.0,2.643879208760004,5281.941212651311
Tailing,3.5667240976033576,0.2777022877377938,21.111211196952713,0.9246706513344567,0.015378143929139249,0.018089190758900944,2.215012635299181,0.05007891134056885,0.0,24.28673373274532,0.0,46.66987251073872,1.241687409726572,0.011247442473130254,7.5537702315409465,10922.80801323583
Mine Drainage,1.7410408140394942,0.33039793318620003,16.10190147431097,7.247673033809498,0.03654655457402872,0.15084174067356784,0.7251307774548619,0.019841574635455387,0.0032712666652099072,71.94372138955957,1.2936678209226478,0.0,0.0329246704576478,0.0,3.9442664649434716,1375.6462834490403
Coal Washing,1.9728855762615298,0.9732902176277375,16.24297631588794,6.497602075779346,0.20852413501208134,0.5811600922735493,18.58688535754802,0.0,0.0,50.569655752548414,0.0,0.0,0.19060042278040135,0.0,4.0981306100177015,990.6992919378365
Plating,19.138553233315854,0.5142797413942846,0.4775454741518353,0.2530991013004725,0.07951106064555626,2.3373463232361567,0.0,0.0,0.0,65.44136531798426,0.0,0.0,0.10185953830861293,0.0,3.133491264376537,2721.973055306007
Tanning,28.25948604782043,10.978334458421058,0.28256522132474393,0.7172661203024991,0.05045827641620153,0.07175853856039262,53.502759066748176,0.0,0.0,5.315367087695297,0.0,0.02332593666287605,0.6300730673136623,0.0,7.875094091693395,4954.576689752535
Semiconductor,7.879505476917729,2.3571388670144846,11.263819241936318,0.33933530037778764,0.014069433169197048,0.005877411195300226,9.137223697977499,0.7183408498036601,0.0033105882963686624,39.66595958474476,25.849553822983935,0.0,2.673182970032055,0.017050274129260325,7.147966274059808,1510.30558692074
Battery Recycling,26.644743524105145,0.0,0.020034096323968766,0.004250603900278378,0.00028675078877237717,0.0,0.0,1.5140749550901718,0.0,69.08030796864654,0.0,0.0,0.0,0.0,6.440504572032502,79988.63408054269
Battery Manufacturing,0.0,0.0,0.0,0.0,3.190213666003219,23.43258580342987,0.0,0.0,0.0,55.79729107905976,0.0,0.0,6.757046052923041,0.0,7.887849222674748,35.420716498028646
FGD,1.3490771513914421,0.18600912238882022,12.755920572953613,14.174315829055404,0.16187219908390582,0.30558641535306186,59.70750621216578,0.13898009260311142,0.4088112579974071,8.996166217566905,1.1441402771704978,0.12962664211517383,0.0006800474034064769,0.35099511272063366,6.411526512534217,24461.16589104166
Ash,4.657837575203442,1.9316769559720663,20.771257128978636,1.0199261548248655,0.2527130693634489,0.10289520500003056,1.2636253245617792,0.05595758513199833,0.0,51.661886904844714,1.055784996356186,17.06013058563178,0.01529384147314014,0.09990928789756079,7.359535185637204,553.9478528706117
CRL,7.3176874969407875,0.0,21.46454735587657,1.086981496939985,0.006279774428013219,0.005991157424383512,3.1709979153368444,0.0,0.0,66.77233998732433,0.0,0.0,0.0,0.13782246509064225,7.466118671239866,1639.8623205804365
Geothermal,30.731026334194212,3.3368174364739254,0.5920151349896371,0.11033025394792803,0.0532748903654387,0.0,42.578515825490804,0.14691710623109797,0.06996552689380803,5.5441369942662035,5.13858356674714,10.88958565143074,0.13032399348472948,0.6243350364650944,7.174694286778719,1858.0579003901553
Gasification,2.381509544990564,0.0,0.1976441703270681,0.07712978287087563,0.3085188914951538,0.0,13.497712002403217,0.0,0.0,55.92629985646334,0.0,0.0,26.820807208440428,0.0,7.920123735868603,5186.06412609313
