,Na,K,Ca,Mg,Al,Fe,Cl,F,Br,SO4,SiO2,TIC,N,B,final_pH,final_calculated_TDS
Drilling,29.8759684871495,0.959652321102378,5.7517521176826225,0.6302245019126358,0.0026244836990339045,0.03372363109534301,59.86681653792104,0.0,0.9868122924543334,0.26031660606763757,0.036272786739402665,0.2476680353893887,0.00011767376680291942,0.015278150918784485,6.858635998137055,44182.66810556346
PW Conv,33.598202667475284,0.2888123190724587,3.283779373500151,0.811345589995462,0.008347176851805164,0.0,59.29689194645166,0.003338870740722065,0.4225424394152292,0.8815754851216504,0.033923410193775275,0.7490119560882245,0.21238491198616954,0.04841573953756398,7.1,59900.491971949756
PW Unconv,32.04806802154405,0.30378729699920926,1.446606176186711,0.22904597789622935,0.0024108708697939893,0.0,48.01526999793056,0.02471197912453471,0.15915729921126756,0.5907736555716281,0.11570167349035616,13.729726488733752,0.37390388141389347,0.004098896454128437,7.41677569801154,8295.277731795873
Petroleum Refining,34.28855509324236,0.0,0.0,0.0,0.0,0.06689655614468867,21.56219465901554,0.21997037137895148,0.0,43.165185249618105,0.0,0.0,0.4486556350739488,0.0,7.936584194556185,2361.85551403074
Excavation,2.120278849084639,0.24847017762710608,18.969523080706185,0.9276219964745296,0.0,0.16564678508473743,1.620025558128733,0.0662565417357037,0.0,39.53504371578234,0.0,25.435589540116393,2.756218906142421,0.14511291926209682,7.5299832614419,1509.2354486210602
Flotation,19.83353378614638,0.25039185698520766,3.988957460531841,2.7069384970822385,0.013867856694510246,0.005517991027116837,0.14523768835524511,0.00843315500762387,0.0,49.42288680065041,16.288597337383525,2.01543653616995,0.19707602747753264,0.0,9.816459675550918,9604.94494092945
Leachate,0.0,0.0,0.0,5.884214987567977,6.918543112329824,3.7577631400697045,0.0,0.0,0.0,82.35723779649899,0.0,0.0,0.02083961637395275,0.0,1.3049024547824843,45239.67947507371
Smelting&Refining,0.37179657294473945,0.09294914323618508,22.77437059650367,1.4871862917789618,0.022307403991358304,0.22307794376684445,3.1602708700302915,0.04740292624995938,0.0,14.316012978201423,0.0,57.037544658685455,0.051614680348234694,0.0,7.5617615061590016,537.9285731870524
Gas Scrubber,15.350072358665917,0.0,13.750904721044568,0.0,0.0,0.01797835633398426,0.0,0.0,0.0,69.68187435957685,0.0,0.0,0.0,0.0,2.644028389108361,5280.611146932425
Tailing,0.283362411198556,0.005247452059232512,24.12702629339304,0.5509824662194144,0.01762856193231822,0.07035066939193589,0.7451381924110186,0.01784090737138004,0.0,4.1145326586408535,0.0,70.37028081927883,0.012605900919501915,0.0010238330610065128,7.556604106959441,9528.43388288389
Mine Drainage,1.7410408140394966,0.3303979331862005,16.101901474310996,7.24767303380951,0.03654655457402875,0.1508417406735681,0.7251307774548625,0.019841574635455408,0.003271266665209912,71.94372138955967,1.29366782092265,0.0,0.03292467045764784,0.0,3.9442766784805796,1375.6139320153063
Coal Washing,1.973861645227531,0.9737717449843015,16.25101239526742,6.500816711141829,0.1992217607788724,0.5814476164651039,18.596081066711495,0.0,0.0,50.56108119123919,0.0,0.0,0.1906947207771127,0.0,4.0981120719548185,990.2140098196683
Plating,0.0,0.0,0.0,0.0,3.664526811365466,13.285639594252302,0.0,0.0,0.0,64.87921277642045,0.0,0.0,0.08486341458945264,0.0,3.030105111389566,3267.4565414810936
Tanning,28.254769659848233,10.977583472200891,0.28254769659848256,0.7172170548477548,0.050454824756896985,0.07275603187410906,53.49909914593304,0.0,0.0,5.315003483593682,0.0,0.02332434102402276,0.630029966404955,0.0,7.875094091693395,4954.915636737559
Semiconductor,7.87914064974917,2.3571210683283215,11.263747692475118,0.33933273806692843,0.014069326931321558,0.005892802670820798,9.137154703070461,0.7183354256330596,0.003310563298213939,39.665660068252166,25.84935863376433,0.0,2.6731627849061783,0.017050145383142534,7.147966274059808,1510.3169912798598
Battery Recycling,26.673363241140223,0.012515369003457158,0.020055878828398786,0.0042552254611755895,0.0002878534866377815,0.00013766905903853357,0.06107500073687038,1.6523494241877383,0.0,68.74200858796354,0.02501913739681325,0.0,0.0,0.06884054044689458,6.440492487582181,79901.75916697124
Battery Manufacturing,0.0,0.0,0.0,0.0,2.818235008025963,20.700348437825138,0.0,0.0,0.0,59.4828812759607,0.0,0.0,5.969175099980712,0.0,7.8869421874014565,40.09594343268959
